PROBE_ID,SEQ_ID,BH_FDR,Time_Effect
1314_RCN1_5954;105,1314_RCN1_5954,0.00003089,0.5203
773_PHF8_23133;521,773_PHF8_23133,0.00000022,0.5203
852_RAI1_10743;1265,852_RAI1_10743,0.00000018,0.5203
1289_MSH6_2956;233,1289_MSH6_2956,0.00000039,0.5202
1394_PCGF3_10336;161,1394_PCGF3_10336,0.00001508,0.5202
290_BRD2_6046;77,290_BRD2_6046,0.00000475,0.5202
490_ABCC5_10057;249,490_ABCC5_10057,0.00000284,0.5202
1128_C5orf15_56951;221,1128_C5orf15_56951,0.00007222,0.5201
263_RPL27_6155;49,263_RPL27_6155,0.00000173,0.5201
276_TMBIM6_7009;225,276_TMBIM6_7009,0.00000022,0.5201
CTA28;65,CTA28,0.00001273,0.52
94_SMN1_6606;61,94_SMN1_6606,0.00000018,0.52
257_HIST3H3_8290;13,257_HIST3H3_8290,0.00000035,0.5198
145_IGFBP7_3490;81,145_IGFBP7_3490,0.0000004,0.5197
552_ADAR_103;1149,552_ADAR_103,0.00000167,0.5195
538_THRAP3_9967;753,538_THRAP3_9967,0.00000156,0.5191
1145_PRR15L_79170;1,1145_PRR15L_79170,0.00004846,0.519
324_CELF1_10658;469,324_CELF1_10658,0.00000042,0.519
1161_LINC00116_205251;109,1161_LINC00116_205251,0.00001029,0.5184
1335_KTN1_3895;157,1335_KTN1_3895,0.0000007,0.5184
708_CYTH1_9267;65,708_CYTH1_9267,0.00000018,0.5184
1057_SRRM1_10250;825,1057_SRRM1_10250,0.00000031,0.5183
941_PSMC1_5700;57,941_PSMC1_5700,0.00000097,0.5183
1004_TRIP12_9320;1689,1004_TRIP12_9320,0.00000363,0.5182
125_RPS27A_6233;73,125_RPS27A_6233,0.00000012,0.5181
1253_ANKRD11_29123;453,1253_ANKRD11_29123,0.00000047,0.5179
224_RPL23A_6147;13,224_RPL23A_6147,0.0000002,0.5179
1046_SRRT_51593;341,1046_SRRT_51593,0.00000063,0.5178
1253_ANKRD11_29123;449,1253_ANKRD11_29123,0.00000038,0.5178
304_ZNF706_51123;9,304_ZNF706_51123,0.0000005,0.5177
552_ADAR_103;169,552_ADAR_103,0.00000031,0.5177
1070_MGST1_4257;141,1070_MGST1_4257,0.00003416,0.5176
1143_PHF2_5253;837,1143_PHF2_5253,0.00000021,0.5174
112_RPL19_6143;121,112_RPL19_6143,0.00003667,0.5172
1135_ARMC2_84071;333,1135_ARMC2_84071,0.00000892,0.5171
1282_RARS_5917;49,1282_RARS_5917,0.00000982,0.5171
249_CCDC72_51372;53,249_CCDC72_51372,0.0000012,0.517
48_RPS6_6194;133,48_RPS6_6194,0.00000241,0.517
77_SP100_6672;833,77_SP100_6672,0.00000039,0.517
80_RPL27A_6157;113,80_RPL27A_6157,0.0000002,0.517
PRO18;833,PRO18,0.00000078,0.5166
1212_PCF11_51585;545,1212_PCF11_51585,0.00000015,0.5166
CAT1651_T102861_G024234_1_1199_1891_693;13,CAT1651_T102861_G024234_1_1199_1891_693,0.00013294,0.5165
966_TARS_6897;265,966_TARS_6897,0.00000053,0.5164
891_PTPLAD1_51495;349,891_PTPLAD1_51495,0.00000177,0.5162
827_PRR11_55771;1,827_PRR11_55771,0.00000037,0.5161
132_RPL21_6144;73,132_RPL21_6144,0.00000013,0.5159
1032_C1orf9_51430;1245,1032_C1orf9_51430,0.00000219,0.5158
1040_DIAPH1_1729;29,1040_DIAPH1_1729,0.00006752,0.5158
1182_PHF10_55274;481,1182_PHF10_55274,0.00000052,0.5158
832_RPL3_6122;17,832_RPL3_6122,0.00000024,0.5157
837_BBX_56987;669,837_BBX_56987,0.00000017,0.5157
1285_MICAL2_9645;53,1285_MICAL2_9645,0.00000279,0.5156
1378_CHD7_55636;845,1378_CHD7_55636,0.00000048,0.5156
293_RPL7A_6130;61,293_RPL7A_6130,0.00007654,0.5156
1046_SRRT_51593;709,1046_SRRT_51593,0.00000101,0.5153
1156_PREPL_9581;37,1156_PREPL_9581,0.00006083,0.5153
534_MRPS24_64951;153,534_MRPS24_64951,0.00007848,0.5153
537_DGKD_8527;1117,537_DGKD_8527,0.00000363,0.5153
1394_PCGF3_10336;157,1394_PCGF3_10336,0.00000279,0.5152
244_RPL7_6129;101,244_RPL7_6129,0.00000787,0.5152
387_RPS3A_6189;213,387_RPS3A_6189,0.0000005,0.5152
1163_CARS2_79587;325,1163_CARS2_79587,0.00000018,0.5149
51_SLC45A3_85414;5,51_SLC45A3_85414,0.00011851,0.5149
417_PNISR_25957;785,417_PNISR_25957,0.00000258,0.5148
CAT1942_T149369_G034642_1_6407_7270_864;77,CAT1942_T149369_G034642_1_6407_7270_864,0.00000473,0.5146
765_ANKRD36_375248;1421,765_ANKRD36_375248,0.0000003,0.5146
81_RPS8_6202;5,81_RPS8_6202,0.0000005,0.5146
112_RPL19_6143;93,112_RPL19_6143,0.00005601,0.5145
782_MRPL20_55052;53,782_MRPL20_55052,0.00001026,0.5144
885_TBCD_6904;293,885_TBCD_6904,0.00007053,0.5144
1202_CTNNA1_1495;41,1202_CTNNA1_1495,0.00000085,0.5143
580_HMGB1_3146;169,580_HMGB1_3146,0.00000114,0.5141
552_ADAR_103;1153,552_ADAR_103,0.00015292,0.5139
806_CSDE1_7812;77,806_CSDE1_7812,0.0000266,0.5139
872_RASD1_51655;213,872_RASD1_51655,0.00000034,0.5138
1183_MDK_4192;121,1183_MDK_4192,0.00000022,0.5137
58_RPL12_6136;81,58_RPL12_6136,0.00000054,0.5136
87_NBEAL1_65065;81,87_NBEAL1_65065,0.00000054,0.5136
103_RPS25_6230;33,103_RPS25_6230,0.00000054,0.5135
137_RPL14_9045;117,137_RPL14_9045,0.00000026,0.5135
21_GTF2I_2969;421,21_GTF2I_2969,0.00009749,0.5135
837_BBX_56987;745,837_BBX_56987,0.000004,0.5134
1041_MLL_4297;921,1041_MLL_4297,0.00000043,0.5133
1394_PCGF3_10336;213,1394_PCGF3_10336,0.00022305,0.5133
816_ZFAND5_7763;145,816_ZFAND5_7763,0.00000373,0.5132
178_ZC3H11A_9877;217,178_ZC3H11A_9877,0.00000149,0.5131
42_RPL35_11224;65,42_RPL35_11224,0.00000171,0.5131
682_ARFGAP3_26286;213,682_ARFGAP3_26286,0.0000003,0.5127
781_ATP1A1_476;941,781_ATP1A1_476,0.00000556,0.5127
316_HIST1H1C_3006;13,316_HIST1H1C_3006,0.00000047,0.5125
1178_C12orf51_283450;2877,1178_C12orf51_283450,0.00000074,0.5123
499_TCEAL4_79921;169,499_TCEAL4_79921,0.00000064,0.5123
836_TBRG1_84897;21,836_TBRG1_84897,0.00000035,0.5123
327_AP3D1_8943;833,327_AP3D1_8943,0.00000022,0.5121
1240_NOP10_55505;37,1240_NOP10_55505,0.00000529,0.5119
836_TBRG1_84897;125,836_TBRG1_84897,0.00000229,0.5118
1077_NPM1_4869;145,1077_NPM1_4869,0.00000033,0.5117
1096_ANKHD1_54882;1453,1096_ANKHD1_54882,0.00000035,0.5117
1369_JUNB_3726;277,1369_JUNB_3726,0.00000082,0.5117
1220_PKP3_11187;741,1220_PKP3_11187,0.00008572,0.5116
1378_CHD7_55636;1725,1378_CHD7_55636,0.00000072,0.5115
354_SLC12A7_10723;865,354_SLC12A7_10723,0.00001006,0.5115
693_ZMAT2_153527;117,693_ZMAT2_153527,0.00000052,0.5115
349_PARP1_142;341,349_PARP1_142,0.00000206,0.5113
37_RPL34_6164;93,37_RPL34_6164,0.00005846,0.5111
389_RPL6_6128;29,389_RPL6_6128,0.00000103,0.5109
855_PDCD4_27250;297,855_PDCD4_27250,0.00000047,0.5109
219_RPL36AL_6166;85,219_RPL36AL_6166,0.00000133,0.5107
316_HIST1H1C_3006;137,316_HIST1H1C_3006,0.00000026,0.5107
60_RPL36A_6173;85,60_RPL36A_6173,0.00000133,0.5107
677_ZNF598_90850;841,677_ZNF598_90850,0.00000015,0.5107
163_ATP13A3_79572;1177,163_ATP13A3_79572,0.00000029,0.5106
946_NKTR_4820;973,946_NKTR_4820,0.00000016,0.5103
361_EIF1_10209;57,361_EIF1_10209,0.0000008,0.5101
672_PTP4A1_7803;77,672_PTP4A1_7803,0.00005919,0.5098
352_HP1BP3_50809;449,352_HP1BP3_50809,0.00000034,0.5096
959_NCOR2_9612;273,959_NCOR2_9612,0.00005712,0.5096
1137_KAT6A_7994;1145,1137_KAT6A_7994,0.00000132,0.5094
1246_TAF1C_9013;137,1246_TAF1C_9013,0.0000003,0.5093
1433_SASH1_23328;261,1433_SASH1_23328,0.00004165,0.5093
519_NBPF11_200030;765,519_NBPF11_200030,0.0000003,0.5092
1000_H2AFY_9555;109,1000_H2AFY_9555,0.00000123,0.509
316_HIST1H1C_3006;149,316_HIST1H1C_3006,0.00000016,0.509
416_CCDC47_57003;465,416_CCDC47_57003,0.00000072,0.509
PRO10;133,PRO10,0.00000116,0.5089
1378_CHD7_55636;1729,1378_CHD7_55636,0.00003625,0.5089
341_KRTCAP2_200185;125,341_KRTCAP2_200185,0.00000068,0.5089
76_RPL30_6156;33,76_RPL30_6156,0.00000964,0.5089
77_SP100_6672;525,77_SP100_6672,0.0000093,0.5089
1182_PHF10_55274;193,1182_PHF10_55274,0.00000012,0.5088
271_RPS4X_6191;117,271_RPS4X_6191,0.00000301,0.5088
385_EIF3D_8664;125,385_EIF3D_8664,0.0000009,0.5088
465_DHCR24_1718;97,465_DHCR24_1718,0.00000294,0.5086
768_NUCKS1_64710;37,768_NUCKS1_64710,0.00000058,0.5085
837_BBX_56987;709,837_BBX_56987,0.0000005,0.5085
876_SON_6651;97,876_SON_6651,0.00000049,0.5085
556_POGZ_23126;969,556_POGZ_23126,0.00000745,0.5084
654_RPS3_6188;177,654_RPS3_6188,0.00002418,0.5084
PRO30;901,PRO30,0.00000032,0.5083
347_TDG_6996;49,347_TDG_6996,0.0000016,0.5083
478_VDAC1_7416;101,478_VDAC1_7416,0.00000019,0.5083
81_RPS8_6202;193,81_RPS8_6202,0.00000258,0.5083
1142_NOP56_10528;445,1142_NOP56_10528,0.00000236,0.5081
702_ZNF395_55893;477,702_ZNF395_55893,0.00000028,0.5081
1264_CAST_831;25,1264_CAST_831,0.00000012,0.508
1287_MYO6_4646;801,1287_MYO6_4646,0.00001612,0.508
734_MRPL51_51258;81,734_MRPL51_51258,0.00000581,0.508
298_RPL24_6152;69,298_RPL24_6152,0.00000035,0.5078
602_REEP3_221035;221,602_REEP3_221035,0.00000109,0.5078
PCA10;141,PCA10,0.00000905,0.5076
367_TUBA1B_10376;329,367_TUBA1B_10376,0.00002864,0.5076
1138_SNRNP200_23020;1393,1138_SNRNP200_23020,0.00002075,0.5074
876_SON_6651;1825,876_SON_6651,0.00000032,0.5073
916_SUMO2_6613;21,916_SUMO2_6613,0.00000491,0.5073
PRO14;2461,PRO14,0.00000013,0.5071
163_ATP13A3_79572;1173,163_ATP13A3_79572,0.00000037,0.5071
1230_MBOAT2_129642;457,1230_MBOAT2_129642,0.00000166,0.507
258_C6orf62_81688;9,258_C6orf62_81688,0.00000027,0.507
836_TBRG1_84897;13,836_TBRG1_84897,0.000004,0.507
1272_GTPBP4_23560;621,1272_GTPBP4_23560,0.00000218,0.5068
1129_EZH2_2146;485,1129_EZH2_2146,0.00006884,0.5067
212_ZRANB2_9406;125,212_ZRANB2_9406,0.0000015,0.5066
1343_DAAM1_23002;1045,1343_DAAM1_23002,0.00000043,0.5065
386_LRRC8A_56262;541,386_LRRC8A_56262,0.00000293,0.5065
48_RPS6_6194;181,48_RPS6_6194,0.0000022,0.5064
532_ACTN1_87;41,532_ACTN1_87,0.00000027,0.5063
938_HMGN1_3150;41,938_HMGN1_3150,0.00000027,0.5063
1031_SOCS7_30837;205,1031_SOCS7_30837,0.00001583,0.5062
1041_MLL_4297;2417,1041_MLL_4297,0.00000067,0.5062
417_PNISR_25957;553,417_PNISR_25957,0.00000085,0.5062
949_DNAJB6_10049;309,949_DNAJB6_10049,0.00000015,0.5061
1152_HIST1H4L_8368;5,1152_HIST1H4L_8368,0.00000143,0.5059
70_RPL32_6161;17,70_RPL32_6161,0.00000569,0.5059
718_HIST1H4C_8364;5,718_HIST1H4C_8364,0.00000143,0.5059
1102_BRD1_23774;737,1102_BRD1_23774,0.00000049,0.5057
1361_IARS_3376;285,1361_IARS_3376,0.0000021,0.5057
442_PNRC1_10957;93,442_PNRC1_10957,0.00000028,0.5056
445_MARCKS_4082;153,445_MARCKS_4082,0.00000876,0.5056
404_ELL2_22936;449,404_ELL2_22936,0.00000474,0.5055
95_AHNAK_79026;4833,95_AHNAK_79026,0.00000017,0.5055
1057_SRRM1_10250;797,1057_SRRM1_10250,0.00000169,0.5054
1375_ARID4B_51742;637,1375_ARID4B_51742,0.00000168,0.5054
473_RPL5_6125;1,473_RPL5_6125,0.00002985,0.5054
389_RPL6_6128;33,389_RPL6_6128,0.00000022,0.5053
1361_IARS_3376;985,1361_IARS_3376,0.00000057,0.5052
315_SOX4_6659;285,315_SOX4_6659,0.00005711,0.5052
21_GTF2I_2969;525,21_GTF2I_2969,0.00010614,0.5051
1310_TADA3_10474;97,1310_TADA3_10474,0.00000054,0.505
493_HOXB13_10481;265,493_HOXB13_10481,0.00000013,0.5049
727_JUN_3725;257,727_JUN_3725,0.00000164,0.5048
834_SRSF4_6429;373,834_SRSF4_6429,0.00000013,0.5048
251_COX2_4513;213,251_COX2_4513,0.00000081,0.5047
1041_MLL_4297;2429,1041_MLL_4297,0.00000024,0.5045
677_ZNF598_90850;529,677_ZNF598_90850,0.00000211,0.5045
731_F5_2153;425,731_F5_2153,0.00000532,0.5045
1052_ARL6IP4_51329;205,1052_ARL6IP4_51329,0.0000005,0.5044
507_H1F0_3005;177,507_H1F0_3005,0.00000047,0.5044
951_ENTPD6_955;189,951_ENTPD6_955,0.00000035,0.5044
1143_PHF2_5253;1065,1143_PHF2_5253,0.00000017,0.5043
114_SRRM2_23524;189,114_SRRM2_23524,0.00000018,0.5043
656_ANK3_288;401,656_ANK3_288,0.00001201,0.5043
1287_MYO6_4646;549,1287_MYO6_4646,0.0000012,0.5041
814_CASP9_842;405,814_CASP9_842,0.00003117,0.5041
1204_TAF15_8148;253,1204_TAF15_8148,0.00000166,0.5039
513_ZMIZ1_57178;685,513_ZMIZ1_57178,0.00002317,0.5039
861_PNN_5411;553,861_PNN_5411,0.00000035,0.5039
96_ND1_4535;2625,96_ND1_4535,0.00002713,0.5037
613_FNBP4_23360;777,613_FNBP4_23360,0.00000068,0.5036
968_CXCR4_7852;321,968_CXCR4_7852,0.00002459,0.5035
1222_SMARCC2_6601;305,1222_SMARCC2_6601,0.00000042,0.5034
937_MYL6_4637;305,937_MYL6_4637,0.00000042,0.5034
115_HMGN2_3151;41,115_HMGN2_3151,0.00000043,0.5032
1356_MT1H_4496;17,1356_MT1H_4496,0.00000064,0.5031
387_RPS3A_6189;1,387_RPS3A_6189,0.00000352,0.5031
PRCAT188.2_T382727_G090657_2_1887_2474_588;141,PRCAT188.2_T382727_G090657_2_1887_2474_588,0.00000073,0.5029
275_RPL37A_6168;13,275_RPL37A_6168,0.00000068,0.5029
FBXL19_AS1_T130509_G030577_1_4499_4918_420;17,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.0000539,0.5028
1179_CXXC5_51523;249,1179_CXXC5_51523,0.00000082,0.5027
967_FAM111A_63901;201,967_FAM111A_63901,0.00000243,0.5027
CTA21;5,CTA21,0.00000026,0.5026
1427_PFKM_5213;461,1427_PFKM_5213,0.00000036,0.5025
768_NUCKS1_64710;173,768_NUCKS1_64710,0.00000026,0.5024
95_AHNAK_79026;5073,95_AHNAK_79026,0.00000013,0.5023
1375_ARID4B_51742;1137,1375_ARID4B_51742,0.00000056,0.5022
537_DGKD_8527;65,537_DGKD_8527,0.00001384,0.5022
919_HADHB_3032;29,919_HADHB_3032,0.00000044,0.5022
PCA19;161,PCA19,0.0000004,0.5021
1000_H2AFY_9555;137,1000_H2AFY_9555,0.00000101,0.5021
1142_NOP56_10528;469,1142_NOP56_10528,0.00000063,0.502
748_C22orf28_51493;9,748_C22orf28_51493,0.00001781,0.5019
77_SP100_6672;837,77_SP100_6672,0.00000028,0.5018
230_RPS26_6231;29,230_RPS26_6231,0.00000308,0.5017
343_TARDBP_23435;69,343_TARDBP_23435,0.00000332,0.5017
765_ANKRD36_375248;617,765_ANKRD36_375248,0.00018401,0.5017
1253_ANKRD11_29123;441,1253_ANKRD11_29123,0.00000017,0.5016
697_N4BP2L2_10443;517,697_N4BP2L2_10443,0.00000135,0.5016
699_RGPD5_84220;605,699_RGPD5_84220,0.00000504,0.5016
475_PDHA1_5160;377,475_PDHA1_5160,0.00003533,0.5015
176_ORC6_23594;189,176_ORC6_23594,0.00000088,0.5014
PRO14;417,PRO14,0.00000684,0.5013
605_YTHDF1_54915;237,605_YTHDF1_54915,0.00000016,0.5013
95_AHNAK_79026;4965,95_AHNAK_79026,0.00000073,0.5011
103_RPS25_6230;5,103_RPS25_6230,0.00000031,0.501
1142_NOP56_10528;145,1142_NOP56_10528,0.00001256,0.5009
1362_ADD1_118;725,1362_ADD1_118,0.00000024,0.5008
750_NACAP1_83955;61,750_NACAP1_83955,0.00000017,0.5008
1259_HPS4_89781;693,1259_HPS4_89781,0.00000013,0.5007
177_RPL10A_4736;97,177_RPL10A_4736,0.00000139,0.5006
580_HMGB1_3146;137,580_HMGB1_3146,0.00000062,0.5006
1383_SYNCRIP_10492;409,1383_SYNCRIP_10492,0.00000013,0.5004
157_RPS13_6207;61,157_RPS13_6207,0.00008255,0.5004
488_MYL12B_103910;1,488_MYL12B_103910,0.00000015,0.5004
674_HIST1H2BL_8340;1,674_HIST1H2BL_8340,0.00000158,0.5003
1129_EZH2_2146;17,1129_EZH2_2146,0.00000036,0.5002
1202_CTNNA1_1495;45,1202_CTNNA1_1495,0.00000146,0.5002
702_ZNF395_55893;269,702_ZNF395_55893,0.00000058,0.5001
77_SP100_6672;613,77_SP100_6672,0.00000029,0.5001
112_RPL19_6143;113,112_RPL19_6143,0.000004,0.5
1096_ANKHD1_54882;821,1096_ANKHD1_54882,0.00000213,0.4999
203_TMEM87A_25963;325,203_TMEM87A_25963,0.0000121,0.4997
180_GLTSCR2_29997;101,180_GLTSCR2_29997,0.0000003,0.4996
1041_MLL_4297;3953,1041_MLL_4297,0.00000218,0.4994
520_PTGES3_10728;65,520_PTGES3_10728,0.00002804,0.4994
879_CREB3L4_148327;213,879_CREB3L4_148327,0.0000016,0.4994
1293_AMACR_23600;57,1293_AMACR_23600,0.00000477,0.4992
1001_ITPK1_3705;9,1001_ITPK1_3705,0.00000871,0.499
68_GNAS_2778;653,68_GNAS_2778,0.00000076,0.499
738_SPATS2L_26010;473,738_SPATS2L_26010,0.00000117,0.499
1036_WWC1_23286;161,1036_WWC1_23286,0.00000069,0.4987
1402_A2M_2;297,1402_A2M_2,0.00001258,0.4987
414_DSTN_11034;117,414_DSTN_11034,0.00000018,0.4986
677_ZNF598_90850;641,677_ZNF598_90850,0.00157196,0.4986
946_NKTR_4820;869,946_NKTR_4820,0.00000076,0.4986
973_TTC19_54902;337,973_TTC19_54902,0.00000119,0.4986
SPATA41_T123512_G029083_1_801_1718_918;65,SPATA41_T123512_G029083_1_801_1718_918,0.00000326,0.4985
263_RPL27_6155;125,263_RPL27_6155,0.00000663,0.4985
1041_MLL_4297;2645,1041_MLL_4297,0.00000164,0.4984
499_TCEAL4_79921;125,499_TCEAL4_79921,0.00000017,0.4984
773_PHF8_23133;525,773_PHF8_23133,0.00000122,0.4984
1007_SEL1L3_23231;733,1007_SEL1L3_23231,0.00001437,0.4982
583_RPL9_6133;49,583_RPL9_6133,0.00000138,0.4981
1055_KIAA0146_23514;1,1055_KIAA0146_23514,0.00000138,0.4977
34_PTPRF_5792;1273,34_PTPRF_5792,0.00003946,0.4977
341_KRTCAP2_200185;121,341_KRTCAP2_200185,0.00000015,0.4976
1137_KAT6A_7994;353,1137_KAT6A_7994,0.00000361,0.4975
1231_FAM49B_51571;77,1231_FAM49B_51571,0.00000054,0.4975
1253_ANKRD11_29123;633,1253_ANKRD11_29123,0.00000036,0.4975
417_PNISR_25957;541,417_PNISR_25957,0.00000205,0.4975
531_SMARCA4_6597;1437,531_SMARCA4_6597,0.00000056,0.4975
120_NPIPL3_23117;145,120_NPIPL3_23117,0.00000355,0.4974
30_LOC100132247_100132247;145,30_LOC100132247_100132247,0.00000355,0.4974
445_MARCKS_4082;157,445_MARCKS_4082,0.00001767,0.4974
928_LOC653061_653061;9,928_LOC653061_653061,0.00000022,0.4974
332_RPL8_6132;181,332_RPL8_6132,0.00000073,0.4972
103_RPS25_6230;17,103_RPS25_6230,0.00000103,0.4971
1143_PHF2_5253;829,1143_PHF2_5253,0.00000023,0.4971
PRO10;289,PRO10,0.00000652,0.4967
242_HMGB2_3148;169,242_HMGB2_3148,0.0000009,0.4967
969_C8orf4_56892;81,969_C8orf4_56892,0.00000042,0.4967
1162_LIMS1_3987;301,1162_LIMS1_3987,0.00000119,0.4966
303_RPL13AP3_645683;85,303_RPL13AP3_645683,0.00000132,0.4966
ADT26;633,ADT26,0.00000015,0.4964
1164_PTDSS1_9791;461,1164_PTDSS1_9791,0.00000012,0.4964
859_KIAA1522_57648;5,859_KIAA1522_57648,0.00001258,0.4961
304_ZNF706_51123;13,304_ZNF706_51123,0.00000063,0.496
1076_TANC1_85461;609,1076_TANC1_85461,0.00010171,0.4959
114_SRRM2_23524;241,114_SRRM2_23524,0.00000007,0.4959
1253_ANKRD11_29123;761,1253_ANKRD11_29123,0.00000027,0.4959
837_BBX_56987;661,837_BBX_56987,0.00000118,0.4958
95_AHNAK_79026;1305,95_AHNAK_79026,0.00000029,0.4956
95_AHNAK_79026;1837,95_AHNAK_79026,0.00000029,0.4956
PCA19;157,PCA19,0.0000658,0.4954
293_RPL7A_6130;1,293_RPL7A_6130,0.00000021,0.4954
88_RPL22_6146;9,88_RPL22_6146,0.00000023,0.4954
37_RPL34_6164;29,37_RPL34_6164,0.00000368,0.4952
47_ARL6IP1_23204;113,47_ARL6IP1_23204,0.00005695,0.495
490_ABCC5_10057;253,490_ABCC5_10057,0.00015249,0.495
136_RPL17_6139;173,136_RPL17_6139,0.00000051,0.4949
244_RPL7_6129;17,244_RPL7_6129,0.00000127,0.4948
334_RALBP1_10928;117,334_RALBP1_10928,0.00000016,0.4947
370_NACA2_342538;85,370_NACA2_342538,0.00006169,0.4947
95_AHNAK_79026;5809,95_AHNAK_79026,0.00000101,0.4947
1096_ANKHD1_54882;1533,1096_ANKHD1_54882,0.00000043,0.4946
1367_KIF13B_23303;533,1367_KIF13B_23303,0.00002083,0.4945
653_NUFIP2_57532;213,653_NUFIP2_57532,0.00000107,0.4945
1193_HIST1H2BH_8345;9,1193_HIST1H2BH_8345,0.0000003,0.4944
512_HIST1H2BK_85236;9,512_HIST1H2BK_85236,0.0000003,0.4944
674_HIST1H2BL_8340;9,674_HIST1H2BL_8340,0.0000003,0.4944
791_HIST1H2BF_8343;9,791_HIST1H2BF_8343,0.0000003,0.4944
1337_SIDT2_51092;433,1337_SIDT2_51092,0.00000076,0.4943
35_MYO1C_4641;745,35_MYO1C_4641,0.00012105,0.4943
833_ZMPSTE24_10269;265,833_ZMPSTE24_10269,0.0000197,0.4943
1059_NEMF_9147;1013,1059_NEMF_9147,0.00000085,0.4942
950_LOC100287195_100287195;17,950_LOC100287195_100287195,0.00000053,0.4942
95_AHNAK_79026;2101,95_AHNAK_79026,0.00000013,0.4942
1378_CHD7_55636;585,1378_CHD7_55636,0.0000002,0.4941
321_SSB_6741;337,321_SSB_6741,0.00000089,0.4939
765_ANKRD36_375248;1413,765_ANKRD36_375248,0.00000482,0.4939
1397_SAR1B_51128;17,1397_SAR1B_51128,0.00003811,0.4938
759_PSMD4_5710;121,759_PSMD4_5710,0.00000023,0.4937
316_HIST1H1C_3006;157,316_HIST1H1C_3006,0.0000003,0.4936
734_MRPL51_51258;113,734_MRPL51_51258,0.00002312,0.4936
734_MRPL51_51258;109,734_MRPL51_51258,0.00005493,0.4935
821_RBM39_9584;41,821_RBM39_9584,0.00000031,0.4935
1048_TSPYL4_23270;285,1048_TSPYL4_23270,0.00000183,0.4934
1298_MYO19_80179;585,1298_MYO19_80179,0.00004959,0.4934
316_HIST1H1C_3006;117,316_HIST1H1C_3006,0.00000027,0.4934
CAT1686_T107057_G025268_1_5122_5934_813;257,CAT1686_T107057_G025268_1_5122_5934_813,0.00001141,0.4933
1143_PHF2_5253;1057,1143_PHF2_5253,0.00000096,0.4932
939_RNF220_55182;309,939_RNF220_55182,0.0000018,0.4932
316_HIST1H1C_3006;189,316_HIST1H1C_3006,0.00000019,0.4931
26_RPL31_6160;1,26_RPL31_6160,0.00000162,0.493
874_C15orf24_56851;225,874_C15orf24_56851,0.00000012,0.493
255_RANBP2_5903;601,255_RANBP2_5903,0.00007623,0.4929
876_SON_6651;2025,876_SON_6651,0.00006463,0.4928
1041_MLL_4297;1513,1041_MLL_4297,0.00000121,0.4927
1000_H2AFY_9555;153,1000_H2AFY_9555,0.00000023,0.4925
125_RPS27A_6233;93,125_RPS27A_6233,0.00003756,0.4924
352_HP1BP3_50809;209,352_HP1BP3_50809,0.00000052,0.4924
750_NACAP1_83955;73,750_NACAP1_83955,0.00000144,0.4924
1074_LTA4H_4048;181,1074_LTA4H_4048,0.00000325,0.4922
1377_TRIM2_23321;437,1377_TRIM2_23321,0.00000048,0.4919
549_REPIN1_29803;149,549_REPIN1_29803,0.00003699,0.4919
1121_RPL22L1_200916;69,1121_RPL22L1_200916,0.00000243,0.4918
136_RPL17_6139;169,136_RPL17_6139,0.0000026,0.4918
1253_ANKRD11_29123;1453,1253_ANKRD11_29123,0.00000053,0.4916
178_ZC3H11A_9877;421,178_ZC3H11A_9877,0.00000427,0.4916
327_AP3D1_8943;853,327_AP3D1_8943,0.00000046,0.4916
1059_NEMF_9147;73,1059_NEMF_9147,0.00002997,0.4914
1378_CHD7_55636;745,1378_CHD7_55636,0.0000009,0.4914
1143_PHF2_5253;1061,1143_PHF2_5253,0.00000017,0.4909
81_RPS8_6202;45,81_RPS8_6202,0.00001697,0.4909
172_GOLGA6L9_440295;25,172_GOLGA6L9_440295,0.00000059,0.4907
422_EIF3C_8663;361,422_EIF3C_8663,0.00001898,0.4907
634_MRPL41_64975;25,634_MRPL41_64975,0.00000106,0.4907
202_NACA_4666;1953,202_NACA_4666,0.00003926,0.4906
750_NACAP1_83955;89,750_NACAP1_83955,0.00003926,0.4906
1137_KAT6A_7994;1153,1137_KAT6A_7994,0.00000336,0.4905
580_HMGB1_3146;73,580_HMGB1_3146,0.00000049,0.4905
765_ANKRD36_375248;621,765_ANKRD36_375248,0.00003492,0.4905
1077_NPM1_4869;141,1077_NPM1_4869,0.00000016,0.4904
316_HIST1H1C_3006;181,316_HIST1H1C_3006,0.00000017,0.4904
741_DDX5_1655;33,741_DDX5_1655,0.00000069,0.4904
ADT14;569,ADT14,0.00000653,0.4903
ADT26;1241,ADT26,0.00000047,0.4903
138_RPL37_6167;33,138_RPL37_6167,0.00000497,0.4903
483_EML4_27436;493,483_EML4_27436,0.00000011,0.4903
531_SMARCA4_6597;433,531_SMARCA4_6597,0.00000166,0.4902
769_PRDX6_9588;133,769_PRDX6_9588,0.00004366,0.4902
1037_SUZ12_23512;725,1037_SUZ12_23512,0.00000067,0.4901
903_AHSA2_130872;73,903_AHSA2_130872,0.00001799,0.4901
CTA21;1,CTA21,0.00000039,0.49
CTA22;1,CTA22,0.00000039,0.49
PRO37;1077,PRO37,0.00000085,0.4899
1163_CARS2_79587;313,1163_CARS2_79587,0.00000011,0.4899
1129_EZH2_2146;481,1129_EZH2_2146,0.00000039,0.4898
